Time,ID,Area
0,1,2484.912800
0,2,693.304400
0,3,1813.917700
0,4,1462.117200
0,5,722.478100
0,6,1112.032800
0,7,1057.117600
0,8,686.440000
0,9,921.545700
0,10,344.936100
0,11,243.686200
0,12,137.288000
0,13,212.796400
0,14,108.114300
2,1,3195.378200
2,2,955.867700
2,3,2315.018900
2,4,1642.307700
2,5,1237.308100
2,6,1312.816500
2,7,1069.130300
2,8,423.876700
2,9,1424.363000
2,10,394.703000
2,11,139.004100
2,13,459.914800
2,14,344.936100
2,15,1214.998800
2,16,125.275300
2,17,283.156500
2,18,168.177800
4,1,3864.657200
4,2,1206.418300
4,3,2766.353200
4,4,2424.849300
4,5,1275.062300
4,6,1709.235600
4,7,1299.087700
4,8,712.181500
4,9,2004.404800
4,10,549.152000
4,13,432.457200
4,14,744.787400
4,15,145.868500
4,17,441.037700
4,19,336.355600
4,20,612.647700
4,21,370.677600
4,22,114.978700
4,23,314.046300
4,24,226.525200
4,25,147.584600
4,26,274.576000
6,1,4245.631400
6,2,1491.290900
6,3,3413.322900
6,4,2447.158600
6,5,1088.007400
6,6,2318.451100
6,7,1402.053700
6,8,973.028700
6,9,3137.030800
6,10,1003.918500
6,11,271.143800
6,13,691.588300
6,14,756.800100
6,15,979.893100
6,16,813.431400
6,17,674.427300
6,19,631.524800
6,20,626.376500
6,23,350.084400
6,25,372.393700
6,26,300.317500
6,27,909.533000
6,28,288.304800
8,1,5539.570800
8,2,1867.116800
8,3,4322.855900
8,4,2466.035700
8,5,1781.311800
8,6,2740.611700
8,7,1710.951700
8,8,1364.299500
8,9,3451.077100
8,10,1269.914000
8,13,849.469500
8,14,1309.384300
8,15,1096.587900
8,16,705.317100
8,17,743.071300
8,19,622.944300
8,20,483.940200
8,21,279.724300
8,23,298.601400
8,24,259.131100
8,27,1300.803800
8,28,485.656300
8,29,314.046300
8,30,116.694800
8,31,214.512500
8,32,257.415000
10,1,9589.566800
10,3,4360.610100
10,4,2786.946400
10,5,1987.243800
10,6,3257.157800
10,7,2059.320000
10,8,1146.354800
10,9,5141.435600
10,10,1245.888600
10,11,437.605500
10,13,1034.808300
10,14,1837.943100
10,15,1242.456400
10,16,1106.884500
10,17,1237.308100
10,19,453.050400
10,20,2567.285600
10,23,166.461700
10,24,344.936100
10,25,535.423200
10,27,1182.392900
10,28,840.889000
10,29,535.423200
10,30,126.991400
10,31,466.779200
10,33,308.898000
10,34,161.313400
10,35,883.791500
10,36,264.279400
12,1,938.706700
12,2,10116.409500
12,3,5771.244300
12,4,3121.585900
12,5,2170.866500
12,6,3947.030000
12,7,2049.023400
12,8,1777.879600
12,9,4001.945200
12,10,1616.566200
12,11,422.160600
12,13,1172.096300
12,14,2539.828000
12,15,887.223700
12,16,1314.532600
12,17,1456.968900
12,18,212.796400
12,20,2634.213500
12,21,252.266700
12,22,504.533400
12,24,602.351100
12,25,732.774700
12,27,3600.377800
12,28,780.825500
12,29,902.668600
12,30,151.016800
12,31,658.982400
12,33,746.503500
12,34,684.723900
14,1,854.617800
14,2,11001.917100
14,3,6423.362300
14,4,2953.408100
14,5,2306.438400
14,6,5246.117700
14,7,3042.645300
14,8,2859.022600
14,9,7137.259900
14,10,2167.434300
14,11,420.444500
14,13,1517.032400
14,14,1988.959900
14,15,1299.087700
14,16,1166.948000
14,17,1278.494500
14,20,2587.878800
14,21,310.614100
14,22,1045.104900
14,24,614.363800
14,27,1213.282700
14,28,715.613700
14,29,1190.973400
14,30,133.855800
14,31,839.172900
14,33,973.028700
14,34,243.686200
14,35,1952.921800
14,36,499.385100
14,37,3027.200400
14,38,629.808700
